observer,session_id,scene,condition_1,condition_2,selection,criterion
M05,7,students,pattanaik00,hateren06,1,perceptual
M06,8,window,hateren06,tmo_camera,1,perceptual
M06,8,corridor,irawan05,mantiuk08,1,perceptual
M06,8,window,hateren06,ronan12,1,perceptual
M06,8,corridor,irawan05,pattanaik00,0,perceptual
M06,8,window,hateren06,irawan05,1,perceptual
M06,8,window,hateren06,pattanaik00,1,perceptual
M06,8,students,tmo_camera,pattanaik00,0,perceptual
M06,8,students,tmo_camera,ronan12,0,perceptual
M06,8,students,tmo_camera,ferwerda96,0,perceptual
M06,8,corridor,irawan05,tmo_camera,1,perceptual
M06,8,students,tmo_camera,hateren06,0,perceptual
M06,8,corridor,irawan05,hateren06,0,perceptual
M06,8,rivoli,pattanaik00,mantiuk08,1,perceptual
M06,8,window,hateren06,ferwerda96,1,perceptual
M06,8,rivoli,pattanaik00,hateren06,1,perceptual
M06,8,window,hateren06,mantiuk08,1,perceptual
M06,8,window,tmo_camera,ronan12,1,perceptual
M06,8,corridor,irawan05,ferwerda96,1,perceptual
M06,8,corridor,irawan05,ronan12,0,perceptual
M06,8,rivoli,pattanaik00,ferwerda96,1,perceptual
M06,8,exhibition,pattanaik00,ronan12,0,perceptual
M06,8,rivoli,pattanaik00,tmo_camera,1,perceptual
M06,8,exhibition,pattanaik00,mantiuk08,1,perceptual
M06,8,exhibition,pattanaik00,tmo_camera,1,perceptual
M06,8,exhibition,pattanaik00,ferwerda96,0,perceptual
M06,8,students,tmo_camera,mantiuk08,1,perceptual
M06,8,students,tmo_camera,irawan05,0,perceptual
M06,8,exhibition,pattanaik00,hateren06,0,perceptual
M06,8,exhibition,pattanaik00,irawan05,1,perceptual
M06,8,students,pattanaik00,ronan12,1,perceptual
M06,8,exhibition,ronan12,ferwerda96,1,perceptual
M06,8,exhibition,ronan12,hateren06,0,perceptual
M06,8,window,tmo_camera,irawan05,1,perceptual
M06,8,window,tmo_camera,pattanaik00,1,perceptual
M06,8,rivoli,pattanaik00,ronan12,1,perceptual
M06,8,students,pattanaik00,ferwerda96,1,perceptual
M06,8,window,tmo_camera,ferwerda96,0,perceptual
M06,8,window,tmo_camera,mantiuk08,0,perceptual
M06,8,corridor,pattanaik00,hateren06,0,perceptual
M06,8,exhibition,mantiuk08,tmo_camera,1,perceptual
M06,8,exhibition,mantiuk08,irawan05,1,perceptual
M06,8,students,pattanaik00,hateren06,1,perceptual
M06,8,rivoli,pattanaik00,irawan05,1,perceptual
M06,8,students,pattanaik00,irawan05,1,perceptual
M06,8,window,ferwerda96,mantiuk08,1,perceptual
M06,8,students,ronan12,ferwerda96,1,perceptual
M06,8,corridor,pattanaik00,ronan12,1,perceptual
M06,8,corridor,mantiuk08,tmo_camera,0,perceptual
M06,8,students,ronan12,hateren06,0,perceptual
M06,8,window,ronan12,irawan05,0,perceptual
M06,8,corridor,mantiuk08,ferwerda96,0,perceptual
M06,8,window,ronan12,pattanaik00,0,perceptual
M06,8,rivoli,mantiuk08,hateren06,1,perceptual
M06,8,window,irawan05,pattanaik00,0,perceptual
M06,8,students,ronan12,irawan05,1,perceptual
M06,8,corridor,tmo_camera,ferwerda96,0,perceptual
M06,8,students,ferwerda96,irawan05,1,perceptual
M06,8,exhibition,tmo_camera,irawan05,1,perceptual
M06,8,rivoli,mantiuk08,ferwerda96,1,perceptual
M06,8,rivoli,mantiuk08,tmo_camera,1,perceptual
M06,8,rivoli,mantiuk08,ronan12,0,perceptual
M06,8,rivoli,mantiuk08,irawan05,1,perceptual
M06,8,rivoli,hateren06,ferwerda96,0,perceptual
M06,8,rivoli,hateren06,tmo_camera,0,perceptual
M06,8,rivoli,hateren06,irawan05,1,perceptual
M06,8,rivoli,ferwerda96,tmo_camera,0,perceptual
M07,9,exhibition,hateren06,irawan05,1,perceptual
M07,9,window,hateren06,irawan05,1,perceptual
M07,9,window,hateren06,pattanaik00,1,perceptual
M07,9,rivoli,irawan05,ronan12,1,perceptual
M07,9,rivoli,irawan05,mantiuk08,0,perceptual
M07,9,students,mantiuk08,ronan12,0,perceptual
M07,9,rivoli,irawan05,pattanaik00,0,perceptual
M07,9,exhibition,hateren06,mantiuk08,1,perceptual
M07,9,window,hateren06,mantiuk08,0,perceptual
M07,9,rivoli,irawan05,ferwerda96,1,perceptual
M07,9,window,hateren06,ronan12,1,perceptual
M07,9,corridor,ronan12,ferwerda96,1,perceptual
M07,9,rivoli,irawan05,tmo_camera,0,perceptual
M07,9,window,hateren06,ferwerda96,0,perceptual
M07,9,rivoli,irawan05,hateren06,0,perceptual
M07,9,exhibition,hateren06,pattanaik00,1,perceptual
M07,9,rivoli,mantiuk08,pattanaik00,0,perceptual
M07,9,students,mantiuk08,hateren06,0,perceptual
M07,9,corridor,ronan12,irawan05,1,perceptual
M07,9,exhibition,hateren06,ronan12,1,perceptual
M07,9,corridor,ronan12,hateren06,0,perceptual
M07,9,exhibition,hateren06,tmo_camera,1,perceptual
M07,9,corridor,ronan12,mantiuk08,0,perceptual
M07,9,exhibition,hateren06,ferwerda96,1,perceptual
M07,9,rivoli,mantiuk08,tmo_camera,0,perceptual
M07,9,corridor,ronan12,pattanaik00,0,perceptual
M07,9,window,hateren06,tmo_camera,0,perceptual
M07,9,rivoli,mantiuk08,hateren06,0,perceptual
M07,9,rivoli,ronan12,ferwerda96,1,perceptual
M07,9,rivoli,pattanaik00,tmo_camera,0,perceptual
M07,9,corridor,ronan12,tmo_camera,1,perceptual
M07,9,rivoli,pattanaik00,hateren06,1,perceptual
M07,9,window,mantiuk08,ferwerda96,0,perceptual
M07,9,exhibition,irawan05,mantiuk08,0,perceptual
M07,9,window,mantiuk08,tmo_camera,1,perceptual
M07,9,corridor,hateren06,mantiuk08,1,perceptual
M07,9,students,mantiuk08,tmo_camera,0,perceptual
M07,9,window,irawan05,pattanaik00,0,perceptual
M07,9,window,irawan05,ronan12,1,perceptual
M07,9,corridor,hateren06,pattanaik00,1,perceptual
M07,9,corridor,ferwerda96,irawan05,1,perceptual
M07,9,corridor,ferwerda96,tmo_camera,1,perceptual
M07,9,corridor,mantiuk08,pattanaik00,1,perceptual
M07,9,students,mantiuk08,pattanaik00,0,perceptual
M07,9,students,mantiuk08,irawan05,1,perceptual
M07,9,students,mantiuk08,ferwerda96,0,perceptual
M07,9,corridor,irawan05,tmo_camera,0,perceptual
M07,9,students,ronan12,hateren06,0,perceptual
M07,9,exhibition,irawan05,pattanaik00,0,perceptual
M07,9,students,ronan12,tmo_camera,0,perceptual
M07,9,students,ronan12,pattanaik00,0,perceptual
M07,9,exhibition,irawan05,ronan12,0,perceptual
M07,9,students,ronan12,ferwerda96,0,perceptual
M07,9,exhibition,irawan05,tmo_camera,0,perceptual
M07,9,students,hateren06,tmo_camera,1,perceptual
M07,9,exhibition,irawan05,ferwerda96,0,perceptual
M07,9,students,hateren06,pattanaik00,1,perceptual
M07,9,exhibition,mantiuk08,pattanaik00,0,perceptual
M07,9,students,hateren06,ferwerda96,1,perceptual
M07,9,students,tmo_camera,pattanaik00,0,perceptual
M07,9,students,tmo_camera,ferwerda96,0,perceptual
M07,9,exhibition,mantiuk08,ronan12,1,perceptual
M07,9,exhibition,mantiuk08,tmo_camera,0,perceptual
M07,9,exhibition,mantiuk08,ferwerda96,0,perceptual
M07,9,students,pattanaik00,ferwerda96,1,perceptual
M07,9,exhibition,pattanaik00,tmo_camera,0,perceptual
M07,9,exhibition,pattanaik00,ferwerda96,1,perceptual
M08,11,exhibition,ferwerda96,mantiuk08,1,perceptual
M08,11,corridor,ferwerda96,tmo_camera,1,perceptual
M08,11,rivoli,irawan05,ferwerda96,1,perceptual
M08,11,rivoli,irawan05,ronan12,0,perceptual
M08,11,rivoli,irawan05,hateren06,0,perceptual
M08,11,students,ronan12,hateren06,0,perceptual
M08,11,rivoli,irawan05,tmo_camera,0,perceptual
M08,11,rivoli,irawan05,mantiuk08,0,perceptual
M08,11,window,pattanaik00,irawan05,0,perceptual
M08,11,exhibition,ferwerda96,tmo_camera,1,perceptual
M08,11,window,pattanaik00,ronan12,0,perceptual
M08,11,window,pattanaik00,hateren06,0,perceptual
M08,11,corridor,ferwerda96,mantiuk08,1,perceptual
M08,11,exhibition,ferwerda96,hateren06,1,perceptual
M08,11,corridor,ferwerda96,irawan05,1,perceptual
M08,11,exhibition,ferwerda96,pattanaik00,1,perceptual
M08,11,corridor,ferwerda96,ronan12,1,perceptual
M08,11,exhibition,ferwerda96,ronan12,1,perceptual
M08,11,corridor,ferwerda96,hateren06,0,perceptual
M08,11,rivoli,irawan05,pattanaik00,0,perceptual
M08,11,corridor,ferwerda96,pattanaik00,1,perceptual
M08,11,corridor,tmo_camera,mantiuk08,0,perceptual
M08,11,students,ronan12,pattanaik00,0,perceptual
M08,11,corridor,tmo_camera,irawan05,0,perceptual
M08,11,rivoli,ronan12,hateren06,1,perceptual
M08,11,exhibition,ferwerda96,irawan05,1,perceptual
M08,11,window,pattanaik00,ferwerda96,1,perceptual
M08,11,students,ronan12,mantiuk08,0,perceptual
M08,11,corridor,tmo_camera,ronan12,0,perceptual
M08,11,students,ronan12,ferwerda96,0,perceptual
M08,11,corridor,tmo_camera,pattanaik00,0,perceptual
M08,11,rivoli,ronan12,tmo_camera,1,perceptual
M08,11,students,ronan12,tmo_camera,0,perceptual
M08,11,corridor,mantiuk08,irawan05,0,perceptual
M08,11,rivoli,ronan12,mantiuk08,0,perceptual
M08,11,window,pattanaik00,mantiuk08,1,perceptual
M08,11,rivoli,ronan12,pattanaik00,0,perceptual
M08,11,students,ronan12,irawan05,1,perceptual
M08,11,students,hateren06,pattanaik00,1,perceptual
M08,11,window,pattanaik00,tmo_camera,1,perceptual
M08,11,students,hateren06,mantiuk08,1,perceptual
M08,11,corridor,mantiuk08,ronan12,0,perceptual
M08,11,corridor,mantiuk08,pattanaik00,0,perceptual
M08,11,students,hateren06,ferwerda96,1,perceptual
M08,11,corridor,irawan05,ronan12,0,perceptual
M08,11,exhibition,mantiuk08,tmo_camera,0,perceptual
M08,11,exhibition,mantiuk08,hateren06,0,perceptual
M08,11,corridor,irawan05,pattanaik00,0,perceptual
M08,11,corridor,ronan12,pattanaik00,1,perceptual
M08,11,students,hateren06,tmo_camera,1,perceptual
M08,11,rivoli,mantiuk08,pattanaik00,0,perceptual
M08,11,rivoli,hateren06,tmo_camera,1,perceptual
M08,11,window,irawan05,ronan12,0,perceptual
M08,11,exhibition,mantiuk08,pattanaik00,0,perceptual
M08,11,students,pattanaik00,mantiuk08,1,perceptual
M08,11,exhibition,mantiuk08,ronan12,0,perceptual
M08,11,students,pattanaik00,ferwerda96,1,perceptual
M08,11,window,irawan05,hateren06,0,perceptual
M08,11,window,ferwerda96,mantiuk08,1,perceptual
M08,11,exhibition,mantiuk08,irawan05,1,perceptual
M08,11,exhibition,tmo_camera,hateren06,0,perceptual
M08,11,students,pattanaik00,tmo_camera,1,perceptual
M08,11,exhibition,tmo_camera,pattanaik00,0,perceptual
M08,11,window,ferwerda96,tmo_camera,1,perceptual
M08,11,exhibition,tmo_camera,ronan12,0,perceptual
M08,11,exhibition,hateren06,pattanaik00,1,perceptual
M08,11,students,mantiuk08,ferwerda96,0,perceptual
M08,11,window,ronan12,hateren06,0,perceptual
M08,11,window,mantiuk08,tmo_camera,1,perceptual
M08,11,students,mantiuk08,tmo_camera,0,perceptual
M08,11,students,ferwerda96,tmo_camera,1,perceptual
M08,11,exhibition,hateren06,ronan12,1,perceptual
M08,11,exhibition,pattanaik00,ronan12,1,perceptual
M09,12,corridor,ferwerda96,irawan05,0,perceptual
M09,12,window,irawan05,tmo_camera,1,perceptual
M09,12,window,irawan05,pattanaik00,0,perceptual
M09,12,window,irawan05,hateren06,0,perceptual
M09,12,corridor,ferwerda96,mantiuk08,0,perceptual
M09,12,window,irawan05,mantiuk08,0,perceptual
M09,12,window,irawan05,ronan12,0,perceptual
M09,12,corridor,ferwerda96,hateren06,0,perceptual
M09,12,exhibition,irawan05,mantiuk08,0,perceptual
M09,12,students,mantiuk08,pattanaik00,0,perceptual
M09,12,rivoli,hateren06,ferwerda96,1,perceptual
M09,12,exhibition,irawan05,tmo_camera,0,perceptual
M09,12,corridor,ferwerda96,ronan12,0,perceptual
M09,12,window,irawan05,ferwerda96,0,perceptual
M09,12,corridor,ferwerda96,pattanaik00,0,perceptual
M09,12,exhibition,irawan05,pattanaik00,0,perceptual
M09,12,students,mantiuk08,ronan12,0,perceptual
M09,12,window,pattanaik00,hateren06,0,perceptual
M09,12,rivoli,hateren06,pattanaik00,1,perceptual
M09,12,rivoli,hateren06,irawan05,1,perceptual
M09,12,corridor,ferwerda96,tmo_camera,0,perceptual
M09,12,exhibition,irawan05,ronan12,0,perceptual
M09,12,window,pattanaik00,mantiuk08,0,perceptual
M09,12,window,pattanaik00,ronan12,0,perceptual
M09,12,window,pattanaik00,ferwerda96,0,perceptual
M09,12,corridor,irawan05,mantiuk08,0,perceptual
M09,12,window,hateren06,mantiuk08,1,perceptual
M09,12,students,mantiuk08,ferwerda96,0,perceptual
M09,12,students,mantiuk08,hateren06,0,perceptual
M09,12,corridor,irawan05,hateren06,0,perceptual
M09,12,rivoli,hateren06,tmo_camera,0,perceptual
M09,12,window,hateren06,ronan12,1,perceptual
M09,12,rivoli,hateren06,ronan12,0,perceptual
M09,12,exhibition,irawan05,hateren06,0,perceptual
M09,12,corridor,irawan05,ronan12,0,perceptual
M09,12,corridor,irawan05,pattanaik00,0,perceptual
M09,12,window,hateren06,ferwerda96,1,perceptual
M09,12,corridor,irawan05,tmo_camera,0,perceptual
M09,12,students,mantiuk08,tmo_camera,0,perceptual
M09,12,corridor,mantiuk08,hateren06,0,perceptual
M09,12,window,mantiuk08,ronan12,0,perceptual
M09,12,rivoli,hateren06,mantiuk08,0,perceptual
M09,12,exhibition,irawan05,ferwerda96,0,perceptual
M09,12,students,mantiuk08,irawan05,1,perceptual
M09,12,rivoli,tmo_camera,ronan12,0,perceptual
M09,12,corridor,mantiuk08,ronan12,0,perceptual
M09,12,exhibition,mantiuk08,tmo_camera,1,perceptual
M09,12,students,pattanaik00,ronan12,0,perceptual
M09,12,rivoli,tmo_camera,mantiuk08,0,perceptual
M09,12,exhibition,mantiuk08,pattanaik00,0,perceptual
M09,12,exhibition,mantiuk08,ronan12,0,perceptual
M09,12,window,mantiuk08,ferwerda96,0,perceptual
M09,12,students,pattanaik00,ferwerda96,1,perceptual
M09,12,students,pattanaik00,hateren06,0,perceptual
M09,12,window,ronan12,ferwerda96,1,perceptual
M09,12,students,pattanaik00,tmo_camera,1,perceptual
M09,12,exhibition,mantiuk08,hateren06,0,perceptual
M09,12,corridor,mantiuk08,pattanaik00,0,perceptual
M09,12,exhibition,mantiuk08,ferwerda96,0,perceptual
M09,12,students,ronan12,hateren06,0,perceptual
M09,12,rivoli,ferwerda96,pattanaik00,0,perceptual
M09,12,students,ferwerda96,tmo_camera,0,perceptual
M09,12,rivoli,ferwerda96,irawan05,1,perceptual
M09,12,corridor,mantiuk08,tmo_camera,1,perceptual
M09,12,exhibition,pattanaik00,ronan12,0,perceptual
M09,12,exhibition,pattanaik00,hateren06,0,perceptual
M09,12,corridor,hateren06,ronan12,1,perceptual
M09,12,corridor,hateren06,pattanaik00,1,perceptual
M09,12,exhibition,pattanaik00,ferwerda96,1,perceptual
M09,12,corridor,ronan12,pattanaik00,1,perceptual
M09,12,rivoli,ronan12,mantiuk08,1,perceptual
M09,12,exhibition,ronan12,hateren06,0,perceptual
M10,14,rivoli,irawan05,ferwerda96,0,perceptual
M10,14,corridor,mantiuk08,ferwerda96,1,perceptual
M10,14,exhibition,ronan12,tmo_camera,1,perceptual
M10,14,rivoli,irawan05,hateren06,0,perceptual
M10,14,students,ronan12,hateren06,0,perceptual
M10,14,window,ferwerda96,irawan05,1,perceptual
M10,14,corridor,mantiuk08,irawan05,1,perceptual
M10,14,students,ronan12,tmo_camera,1,perceptual
M10,14,window,ferwerda96,ronan12,1,perceptual
M10,14,students,ronan12,pattanaik00,0,perceptual
M10,14,students,ronan12,ferwerda96,1,perceptual
M10,14,corridor,mantiuk08,ronan12,0,perceptual
M10,14,exhibition,ronan12,irawan05,1,perceptual
M10,14,window,ferwerda96,tmo_camera,1,perceptual
M10,14,window,ferwerda96,mantiuk08,1,perceptual
M10,14,corridor,mantiuk08,pattanaik00,0,perceptual
M10,14,window,ferwerda96,pattanaik00,1,perceptual
M10,14,window,ferwerda96,hateren06,1,perceptual
M10,14,window,irawan05,ronan12,1,perceptual
M10,14,rivoli,irawan05,pattanaik00,0,perceptual
M10,14,corridor,mantiuk08,hateren06,0,perceptual
M10,14,window,irawan05,tmo_camera,0,perceptual
M10,14,exhibition,ronan12,mantiuk08,1,perceptual
M10,14,window,irawan05,mantiuk08,0,perceptual
M10,14,window,irawan05,pattanaik00,0,perceptual
M10,14,exhibition,ronan12,hateren06,0,perceptual
M10,14,students,ronan12,irawan05,1,perceptual
M10,14,students,ronan12,mantiuk08,1,perceptual
M10,14,rivoli,irawan05,mantiuk08,0,perceptual
M10,14,rivoli,irawan05,ronan12,0,perceptual
M10,14,corridor,mantiuk08,tmo_camera,1,perceptual
M10,14,rivoli,irawan05,tmo_camera,0,perceptual
M10,14,rivoli,ferwerda96,hateren06,0,perceptual
M10,14,exhibition,ronan12,pattanaik00,0,perceptual
M10,14,corridor,ronan12,pattanaik00,0,perceptual
M10,14,corridor,ronan12,hateren06,0,perceptual
M10,14,window,irawan05,hateren06,0,perceptual
M10,14,corridor,ferwerda96,irawan05,1,perceptual
M10,14,window,tmo_camera,mantiuk08,1,perceptual
M10,14,window,tmo_camera,pattanaik00,0,perceptual
M10,14,rivoli,ferwerda96,pattanaik00,0,perceptual
M10,14,students,hateren06,pattanaik00,1,perceptual
M10,14,rivoli,ferwerda96,mantiuk08,0,perceptual
M10,14,rivoli,ferwerda96,ronan12,0,perceptual
M10,14,window,tmo_camera,hateren06,0,perceptual
M10,14,students,tmo_camera,ferwerda96,1,perceptual
M10,14,window,pattanaik00,hateren06,1,perceptual
M10,14,students,tmo_camera,irawan05,1,perceptual
M10,14,rivoli,ferwerda96,tmo_camera,0,perceptual
M10,14,rivoli,hateren06,pattanaik00,1,perceptual
M10,14,students,tmo_camera,mantiuk08,1,perceptual
M10,14,corridor,ferwerda96,tmo_camera,1,perceptual
M10,14,students,ferwerda96,irawan05,0,perceptual
M10,14,rivoli,hateren06,mantiuk08,1,perceptual
M10,14,exhibition,ronan12,ferwerda96,1,perceptual
M10,14,corridor,pattanaik00,hateren06,0,perceptual
M10,14,students,ferwerda96,mantiuk08,0,perceptual
M10,14,students,irawan05,mantiuk08,0,perceptual
M10,14,exhibition,hateren06,pattanaik00,1,perceptual
M10,14,rivoli,hateren06,ronan12,1,perceptual
M10,14,exhibition,tmo_camera,irawan05,1,perceptual
M10,14,rivoli,hateren06,tmo_camera,1,perceptual
M10,14,corridor,irawan05,tmo_camera,0,perceptual
M10,14,rivoli,pattanaik00,mantiuk08,1,perceptual
M10,14,exhibition,tmo_camera,mantiuk08,1,perceptual
M10,14,exhibition,tmo_camera,ferwerda96,0,perceptual
M10,14,rivoli,pattanaik00,ronan12,1,perceptual
M10,14,exhibition,irawan05,mantiuk08,0,perceptual
M10,14,rivoli,pattanaik00,tmo_camera,1,perceptual
M10,14,rivoli,mantiuk08,ronan12,1,perceptual
M10,14,rivoli,mantiuk08,tmo_camera,0,perceptual
M11,15,students,pattanaik00,ronan12,1,perceptual
M11,15,corridor,pattanaik00,tmo_camera,1,perceptual
M11,15,window,ferwerda96,ronan12,0,perceptual
M11,15,corridor,pattanaik00,ferwerda96,1,perceptual
M11,15,corridor,pattanaik00,mantiuk08,1,perceptual
M11,15,window,ferwerda96,pattanaik00,1,perceptual
M11,15,exhibition,tmo_camera,irawan05,1,perceptual
M11,15,rivoli,mantiuk08,ronan12,1,perceptual
M11,15,rivoli,mantiuk08,irawan05,1,perceptual
M11,15,exhibition,tmo_camera,hateren06,0,perceptual
M11,15,corridor,pattanaik00,ronan12,1,perceptual
M11,15,rivoli,mantiuk08,tmo_camera,0,perceptual
M11,15,rivoli,mantiuk08,ferwerda96,1,perceptual
M11,15,window,ferwerda96,irawan05,1,perceptual
M11,15,rivoli,mantiuk08,hateren06,0,perceptual
M11,15,students,pattanaik00,irawan05,1,perceptual
M11,15,corridor,pattanaik00,irawan05,1,perceptual
M11,15,corridor,pattanaik00,hateren06,1,perceptual
M11,15,corridor,tmo_camera,ferwerda96,0,perceptual
M11,15,students,pattanaik00,ferwerda96,1,perceptual
M11,15,rivoli,mantiuk08,pattanaik00,0,perceptual
M11,15,exhibition,tmo_camera,pattanaik00,0,perceptual
M11,15,window,ferwerda96,hateren06,0,perceptual
M11,15,students,pattanaik00,tmo_camera,1,perceptual
M11,15,rivoli,tmo_camera,hateren06,0,perceptual
M11,15,students,pattanaik00,mantiuk08,1,perceptual
M11,15,corridor,tmo_camera,mantiuk08,1,perceptual
M11,15,rivoli,tmo_camera,pattanaik00,0,perceptual
M11,15,students,pattanaik00,hateren06,0,perceptual
M11,15,students,ronan12,irawan05,0,perceptual
M11,15,students,ronan12,ferwerda96,0,perceptual
M11,15,exhibition,tmo_camera,ferwerda96,0,perceptual
M11,15,exhibition,tmo_camera,mantiuk08,1,perceptual
M11,15,exhibition,tmo_camera,ronan12,0,perceptual
M11,15,window,ferwerda96,mantiuk08,1,perceptual
M11,15,window,ferwerda96,tmo_camera,1,perceptual
M11,15,window,ronan12,hateren06,0,perceptual
M11,15,exhibition,hateren06,pattanaik00,1,perceptual
M11,15,rivoli,ronan12,irawan05,1,perceptual
M11,15,window,pattanaik00,irawan05,0,perceptual
M11,15,exhibition,hateren06,ferwerda96,1,perceptual
M11,15,window,pattanaik00,mantiuk08,0,perceptual
M11,15,exhibition,hateren06,ronan12,1,perceptual
M11,15,students,ronan12,tmo_camera,0,perceptual
M11,15,window,pattanaik00,tmo_camera,1,perceptual
M11,15,window,irawan05,mantiuk08,0,perceptual
M11,15,exhibition,irawan05,mantiuk08,0,perceptual
M11,15,students,ronan12,mantiuk08,1,perceptual
M11,15,exhibition,pattanaik00,ferwerda96,1,perceptual
M11,15,students,irawan05,ferwerda96,0,perceptual
M11,15,corridor,tmo_camera,ronan12,0,perceptual
M11,15,students,irawan05,tmo_camera,0,perceptual
